feature,dtype,null_count,null_pct,unknown_count,unknown_pct,unique_values
age,int64,0,0.0,0,0.0,77
job,object,0,0.0,288,0.6370131162770122,12
marital,object,0,0.0,0,0.0,3
education,object,0,0.0,1857,4.1074074893278185,4
default,object,0,0.0,0,0.0,2
balance,int64,0,0.0,0,0.0,7168
housing,object,0,0.0,0,0.0,2
loan,object,0,0.0,0,0.0,2
contact,object,0,0.0,13020,28.798301298356595,3
day,int64,0,0.0,0,0.0,31
month,object,0,0.0,0,0.0,12
duration,int64,0,0.0,0,0.0,1573
campaign,int64,0,0.0,0,0.0,48
pdays,int64,0,0.0,0,0.0,559
previous,int64,0,0.0,0,0.0,41
poutcome,object,0,0.0,36959,81.74780473778506,4
y,object,0,0.0,0,0.0,2
